교과목명,분반,교수,개설학과전공,이수구분,영역,캠퍼스,학점/이론/실습,시간표,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,예측_강의력,예측_풀강
인문 고전의 이해,1,조국,인문융합예술대학,핵심전공,2영역,수정,3.0/3.0/0.0,화/1-3,일반,,4.19,복합적,없음,보통,보통,보통,좋음,모름
국문학의 이해,1,강혜선,국어국문학과,핵심전공,1영역,수정,3.0/3.0/0.0,화/4-6,일반,[GeM(문학과 예술)],3.5,직접호명,두 번,많음,보통,보통,좋음,풀강
국어학의 이해,1,박부자,국어국문학과,핵심전공,1영역,수정,3.0/3.0/0.0,월/4-6,일반(블렌디드형),[1학년전공탐색][GeM(인식과 가치)] / 플립드러닝 강좌,4.43,직접호명,두 번,보통,없음,보통,좋음,모름
현대문학의 이해,1,김명석,국어국문학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/4-6,일반,[1학년전공탐색][GeM(문학과 예술)] / 현대실용음악학과 전공 인정 지정 과목,3.53,복합적,두 번,보통,없음,보통,좋음,풀강 아님
국어문법론,1,홍승혜,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/7-9,일반,,4.62,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
고전문학과 전통문화,1,강혜선,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,수/7-9,일반(블렌디드형),[GeM(문학과 예술)] / 플립드러닝 강좌,3.93,직접호명,두 번,보통,없음,보통,좋음,풀강
한국문학과 여성,1,강진호,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/7-9,일반,,2.43,직접호명,한 번,많음,보통,보통,보통,모름
문학교육론,1,강진호,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/4-6,일반,,3.67,직접호명,한 번,보통,보통,보통,좋음,풀강 아님
설화와 스토리텔링,1,김나영,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,월/7-9,일반,,2.81,직접호명,두 번,보통,보통,보통,나쁨,풀강
현대소설과 사회,1,김예니,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/4-6,일반,,3.5,모름,모름,모름,모름,모름,좋음,모름
한국문학과 세계문학,1,송향경,국어국문학과,심화전공,3영역,수정,3.0/3.0/0.0,목/4-6,일반,,2.58,직접호명,두 번,많음,없음,보통,나쁨,풀강
국어 교과교육론,1,김혜련,국어국문학과,심화전공,3영역,수정,3.0/2.0/1.0,월/4-6,일반,교직 수업으로서 외국인 학생의 수강이 제한됨,3.6,직접호명,두 번,많음,보통,보통,보통,모름
국어 논리 및 논술,1,김혜련,국어국문학과,심화전공,3영역,수정,3.0/2.0/1.0,화/7-9,일반,교직 수업으로서 외국인 학생의 수강이 제한됨,3.54,직접호명,두 번,보통,보통,보통,보통,모름
옛노래의 세계,1,강혜선,국어국문학과,심화전공,3영역,수정,3.0/3.0/0.0,목/7-9,일반,,3.65,직접호명,두 번,보통,없음,보통,좋음,풀강
문화와 비평,1,정슬아,국어국문학과,심화전공,4영역,수정,3.0/3.0/0.0,수/4-6,일반,미디어커뮤니케이션학과 전공 인정 지정 과목,4.37,전자출결,한 번,보통,없음,보통,좋음,모름
영미사회와 문화,1,고정민,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/4-6,일반(블렌디드형),[GeM(문학과예술)],3.78,직접호명,두 번,없음,없음,보통,보통,풀강
영미단편,1,정이화,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,화/4-6,일반(블렌디드형),첫 OT 수업 출석 필수/[GeM(문학과예술)],3.79,직접호명,두 번,없음,보통,보통,보통,모름
영어학101,1,윤태진,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,화/7-9,일반,[1학년전공탐색][GeM(인식과가치)],3.67,전자출결,두 번,없음,없음,보통,보통,풀강
여성과 영문학,1,백진,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,월/4-6,일반,[1학년전공탐색][GeM(문학과예술)],4.13,전자출결,두 번,없음,없음,보통,보통,풀강
통역실습,1,고상숙,영어영문학과,핵심전공,2영역,수정,3.0/1.5/1.5,월/4-6,일반,,3.95,직접호명,두 번,없음,없음,보통,보통,모름
실용영어 스피치와 프리젠테이션,1,마이클 엘리어트,영어영문학과,핵심전공,2영역,수정,3.0/2.0/1.0,화/1-3,일반,,4.22,직접호명,두 번,보통,많음,보통,좋음,모름
실용영어 스피치와 프리젠테이션,2,마이클 엘리어트,영어영문학과,핵심전공,2영역,수정,3.0/2.0/1.0,목/1-3,일반,,4.22,직접호명,두 번,보통,많음,보통,좋음,모름
오스틴과 브론테의 소설 세계,1,남윤아,영어영문학과,핵심전공,2영역,수정,3.0/3.0/0.0,수/4-6,일반,[GeM(문학과예술)],3.86,직접호명,한 번,없음,없음,보통,좋음,모름
응용 영어학,1,윤태진,영어영문학과,핵심전공,2영역,수정,3.0/3.0/0.0,월/7-9,원격(녹화콘텐츠),,3.94,전자출결,두 번,없음,없음,보통,보통,풀강 아님
영미희곡,1,신은주,영어영문학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/7-9,일반,,1.78,전자출결,두 번,많음,없음,보통,나쁨,풀강
AI를 활용한 영어 연구,1,윤태진,영어영문학과,핵심전공,2영역,수정,3.0/2.0/1.0,화/4-6,일반(블렌디드형),[GeM(공학과기술)],4,직접호명,모름,많음,보통,보통,보통,모름
외국어 교과교육론(서양권),1,고정민,영어영문학과,심화전공,3영역,수정,3.0/2.0/1.0,화/4-6,일반(블렌디드형),"영어를 가르치는 방법에 관심이 있는 학생은 누구든지 수강 가능함. 출판사 취업에 관심있는 학생에게 수강하길 권하며, 학원이나 과외에서 교수(teaching)시 많은 도움이 됨.",3.26,직접호명,두 번,많음,많음,보통,보통,모름
외국어 논리 및 논술(서양권),1,고정민,영어영문학과,심화전공,3영역,수정,3.0/2.0/1.0,수/7-9,일반,"전반부는 일반적인 영어 글쓰기 향상에 중점을 두고, 마지막 2-3주동안은 영어 교육과 관련된 글쓰기를 할 예정임",2.44,직접호명,한 번,많음,많음,보통,나쁨,풀강
미국문학으로 보는 다문화주의,1,선희정,영어영문학과,심화전공,3영역,수정,3.0/3.0/0.0,월/7-9,일반,"2023-1학기까지 개설된 '현대미국소설'과 학수번호가 동일하여, '현대미국소설' 기수강자는 본 강의 수강시 재수강처리 된다는 점을 숙지해주시기 바랍니다.",1,모름,모름,모름,모름,모름,나쁨,모름
영미명작읽기,1,정이화,영어영문학과,심화전공,3영역,수정,3.0/3.0/0.0,목/4-6,일반(블렌디드형),원어강좌,4.65,직접호명,두 번,보통,보통,너그러움,좋음,모름
미국 드라마 스토리텔링,1,마이클 엘리어트,영어영문학과,심화전공,4영역,수정,3.0/2.0/1.0,목/7-9,일반,,3.79,직접호명,두 번,보통,보통,보통,보통,풀강
실험통사론,1,이경미,영어영문학과,심화전공,4영역,수정,3.0/2.0/1.0,금/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
기초독일어 1,1,김길웅,독일어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,월/4-6,일반,[1학년전공탐색] [GeM(제2외국어)],3.92,전자출결,두 번,없음,없음,보통,좋음,풀강 아님
독일어권 문화와 사회,1,이재영,독일어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/4-6,일반,[1학년전공탐색] [GeM(사회의 이해)],3.5,직접호명,두 번,없음,보통,보통,보통,모름
기초독일어회화 1,1,마크 슈라플락,독일어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,월/7-9,일반,,3.64,직접호명,두 번,없음,없음,보통,좋음,풀강
