과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
디지털컨텐츠,안민지,공과대학,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 0, 0.5, 0.8]",
디지털컨텐츠,한세영,공과대학,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 1, 1.0, 1.0]",
이산수학,홍기형,공과대학,핵심전공,1영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
이산수학,홍기형,공과대학,핵심전공,1영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
자료구조,안양준,공과대학,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0,"[1, 0, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.0, 1, 0, 0, 0, 0, 0.5, 0.8]",
자료구조,안양준,공과대학,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0,"[1, 0, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.0, 1, 0, 0, 0, 0, 0.5, 0.8]",
운영체제,김준철,공과대학,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
컴퓨터구조,김준철,공과대학,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1, 1.0, 1.0]",
자바프로그래밍,이규중,공과대학,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0, 1.0, 0.8]",
자바프로그래밍,조성우,공과대학,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0.5, 1.0]",
