과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
푸드테크 연구 동향 및 전망,송경모,바이오식품공학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0.5,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.5, 0, 1, 0, 0, 0, 0.5, 0.8]",
식품 물리화학,채정민,바이오식품공학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.8,0,0,"[0, 1, 0, 0]",0,1,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.8, 0.0, 0.0, 0, 1, 0, 0, 0, 1.0, 0.6]",
생화학 1,나혜경,바이오식품공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1, 0.5, 0.4]",
유기화학,윤현근,바이오식품공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.8,0,0,"[0, 0, 0, 1]",0,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.8, 0.0, 0.0, 0, 0, 0, 1, 0, 1.0, 0.8]",
바이오식품미생물공학,현정은,바이오식품공학과,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
생명공학,이유,바이오식품공학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
식품분석실험,김동섭,바이오식품공학과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 1.0, 0.0]",
식품응용수학,송경모,바이오식품공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.0, 0.0, 0, 1, 0, 0, 0, 1.0, 0.8]",
바이오식품화학 1,윤현근,바이오식품공학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.8,0,0,"[0, 0, 0, 1]",0,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.8, 0.0, 0.0, 0, 0, 0, 1, 0, 1.0, 0.8]",
기능성 식품 생리 기전학,나혜경,바이오식품공학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 0, 0, 1]",0,0.5,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 0, 0, 1, 0, 0.5, 0.6]",
바이오식품공학 1,송경모,바이오식품공학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 1.0, 0.0]",
바이오식품안전실험,현정은,바이오식품공학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
기능성식품학,윤현근,바이오식품공학과,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.8,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.8, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
바이오식품가공학,장혜원,바이오식품공학과,심화전공,4영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
바이오식품가공학 및 공학 실험,장혜원,바이오식품공학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
식품소재 효능 평가실험,나혜경,바이오식품공학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 1.0, 1.0]",
바이오식품설계,장혜원,바이오식품공학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 1.0, 1.0]",
