과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
일반화학실험 1,김경순,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
일반화학실험 1,이은경,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
바이오진로탐색세미나,전용필,바이오신약의과학부,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1, 0.5, 0.6]",
유기화학 1,이지연,바이오신약의과학부,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0, 1.0, 0.8]",
미적분학 및 연습 1,조명원,바이오신약의과학부,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
의약품분석학,고병준,바이오신약의과학부,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0.5, 0.6]",
물리학 1,조명원,바이오신약의과학부,심화전공,3영역,"[0, 0, 0]","[0, 0, 0, 0, 1]",0.2,1,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0.2, 1.0, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
면역학,송재민,바이오신약의과학부,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0, 1.0, 0.8]",
생화학 1,나정현,바이오신약의과학부,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
물리학실험,조명원,바이오신약의과학부,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.5, 1, 0, 0, 0, 0, 1.0, 1.0]",
연구방법론 1,나정현,바이오신약의과학부,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 1.0, 1.0]",
바이오신약실험,나정현,바이오신약의과학부,심화전공,3영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.0, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
바이오신약실험,나정현,바이오신약의과학부,심화전공,3영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.0, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
생물공정공학,이재원,바이오생명공학과,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
유전공학,강창수,바이오생명공학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 0, 0, 1]",0,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 0, 0, 1, 0, 0.5, 0.8]",
의약화학 1,이지연,바이오신약의과학부,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 0.8]",
생물분자구조학,나정현,바이오신약의과학부,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
