과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
디지털컨텐츠,안민지,공과대학,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 0, 0.5, 0.8]",
디지털컨텐츠,한세영,공과대학,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 1, 1.0, 1.0]",
운영체제,김준철,공과대학,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
알고리즘,홍기형,공과대학,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 1.0, 1.0]",
서비스디자인 씽킹,최민영,서비스디자인공학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.5, 0, 1, 0, 0, 0, 1.0, 1.0]",
서비스디자인 개론,최민영,서비스디자인공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
UX 프로토타이핑,김환,서비스디자인공학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.5, 0, 1, 0, 0, 0, 1.0, 1.0]",
UX 프로토타이핑,김환,서비스디자인공학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.5, 0, 1, 0, 0, 0, 1.0, 1.0]",
정보설계와 시각화,이자인,서비스디자인공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 1, 0.5, 0.8]",
정보설계와 시각화,이자인,서비스디자인공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 1, 0.5, 0.8]",
