과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
일반화학실험 1,홍사미,청정신소재공학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 1, 0, 0, 0, 0, 1.0, 1.0]",
일반화학실험 1,홍사미,청정신소재공학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 1, 0, 0, 0, 0, 1.0, 1.0]",
일반화학실험 1,홍사미,청정신소재공학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 1, 0, 0, 0, 0, 1.0, 1.0]",
청정신소재 진로와 전망,이세현,청정신소재공학과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 0, 1, 0]",0.2,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 0, 1, 0, 0.2, 0.5, 0.5, 1, 0, 0, 0, 0, 1.0, 1.0]",
신소재와 미래과학기술,임종훈,청정신소재공학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 0.6]",
결정학개론,이윤호,청정신소재공학과,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,1,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 1.0, 0, 1, 0, 0, 0, 0.5, 0.8]",
재료과학과 공학 1,홍현선,청정신소재공학과,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.8,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.8, 0.5, 0.5, 0, 1, 0, 0, 0, 1.0, 1.0]",
열역학,한혁진,청정신소재공학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
환경과 지속가능성,양인목,청정신소재공학과,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
현대물리학,최창훈,청정신소재공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
