과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
미술사1,이보연,미술대학,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
2D디지털그래픽 1,조희은,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
2D디지털그래픽 1,조희은,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
2D디지털그래픽 1,이주연,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
통합금속공예실기 1,김송,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
통합금속공예실기 1,이나진,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
통합금속공예실기 1,신혜정,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
통합도자공예실기 1,한영숙,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
통합도자공예실기 1,박태성,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
통합도자공예실기 1,박미래,공예과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
