과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
미술사1,이보연,미술대학,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
순수미술 3,김라연,서양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
순수미술 3,박영근,서양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
모델링,이창희,조소과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
모델링,김성복,조소과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 1.0, 1.0, 0.0]",
민화와 아이디어의 개발1,최소영,동양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
민화와 아이디어의 개발1,한상아,동양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
전통매체기법의 이해1,정성윤,동양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
전통매체기법의 이해1,김종규,동양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
획과 여백1,이혜진,동양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
획과 여백1,권기범,동양화과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
예술적 글쓰기,정낙현,문화예술경영학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,1,"[0, 0, 0, 1]",1,0.5,0.2,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 1.0, 0, 0, 0, 1, 1.0, 0.5, 0.4]",
한국회화사,이보연,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
현대수묵화연구1,고현지,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
현대수묵화연구1,유근택,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
채색화기초1,최익진,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 1, 0, 0, 0, 0.0, 1.0, 0.8]",
채색화기초1,박소현,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
서화기초 1,이호억,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.2,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.4]",
서화기초 1,문이원,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
현대동양화 1,김민주,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
현대동양화 1,권기범,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
조형과 표현1,정성윤,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
조형과 표현1,김지현,동양화과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
현장드로잉1,유근택,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
현장드로잉1,임노식,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
한국근현대동양화 이론과 현장,이보연,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
색채와 표현1,구본아,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
색채와 표현1,이만수,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
융합매체1,김현호,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
현대동양화3,조민아,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
현대동양화3,이진아,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
디지털 미디어와 창작1,백승현,동양화과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
한국회화 스튜디오1,유근택,동양화과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
한국회화 스튜디오1,이만수,동양화과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
창작스튜디오1,권기범,동양화과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
창작스튜디오1,권기범,동양화과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
