과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
미술사1,이보연,미술대학,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
산업디자인기초,최인환,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
산업디자인기초,최인환,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
산업디자인기초,김용환,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
산업디자인기초,한옥재,디자인과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
시각디자인,장선희,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 0, 0, 1]",0.5,0.5,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 0, 0, 1, 0.5, 0.5, 0.6]",
시각디자인,장선희,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 0, 0, 1]",0.5,0.5,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 0, 0, 1, 0.5, 0.5, 0.6]",
시각디자인,장선희,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 0, 0, 1]",0.5,0.5,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 0, 0, 1, 0.5, 0.5, 0.6]",
기초디자인1,이은영,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
기초디자인1,강주현,디자인과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
디자인입문,장연정,디자인과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
타이포그래피 1,황상준,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.5, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
타이포그래피 1,김장우,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
타이포그래피 1,강주현,디자인과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
타이포그래피 1,김장우,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
초급 공간디자인실습,장기윤,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 1.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
초급 공간디자인실습,이한별,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
타임베이스 그래픽,정동숙,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
타임베이스 그래픽,김경옥,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
타임베이스 그래픽,구예림,디자인과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
타임베이스 그래픽,문영순,디자인과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
