과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
서예,이진선,한문교육과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
한자학입문,김용재,한문교육과,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
한자와 한문의 기초,장진엽,한문교육과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
한문학개론,신영주,한문교육과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
자기이해 및 한문교육 진로 탐색,신영주,한문교육과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
한국고전신화읽기,장진엽,한문교육과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 0, 1, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
한문교육학 입문,황아영,한문교육과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
논어강독,김용재,한문교육과,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
한문 교과교육론,김은경,한문교육과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
한국한문학사2,황아영,한문교육과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
시화강독,장진엽,한문교육과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
한중고사원문선독,김용재,한문교육과,심화전공,4영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
AI와 교육혁신,이정훈,사범대학,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0,1,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.0, 1.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
AIDT 활용 교수설계ㆍ개발,이효진,사범대학,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,1,"[1, 0, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 1.0, 1, 0, 0, 0, 0.0, 0.5, 0.8]",
세계?민주시민교육 2,강지영,사범대학,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.2,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.2, 0.5, 0.5, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
