과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
경영통계학,황성욱,경영학과,핵심전공,1영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
경영통계학,강동우,경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
경영통계학,김동욱,경영학과,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,0.5,0.3,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.6]",
경영학원론,박노윤,경영학과,핵심전공,1영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,0.5,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 0.5, 0.0]",
경영학원론,이현석,경영학과,핵심전공,1영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
경영학원론,조남형,경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
회계원리,심재연,경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
회계원리,이상윤,경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
회계원리,김세환,경영학과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 0, 1, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 0, 1, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
경영수학,이현석,경영학과,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
