과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
경제사,박기주,경제학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
경제원론 1,오철,경제학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
경제원론 1,박기주,경제학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
경제수학입문,이동열,경제학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
경제수학입문,이동열,경제학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
온라인 사회과학 연구,김미림,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
회계원리,심재연,경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
회계원리,이상윤,경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
여성과 경제,김민경,경제학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
게임이론,이동열,경제학과,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
미시경제학,진양수,경제학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
한국경제론,최준용,경제학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
경제학방법론,진양수,경제학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
화폐금융론,김원기,경제학과,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
산업경제학,진양수,경제학과,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
재정학,박기주,경제학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
국제경제학,김원기,경제학과,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
노동경제학,김민경,경제학과,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
보건경제학,김민경,경제학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.8]",
