과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
인간커뮤니케이션,노동렬,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
인간커뮤니케이션,노동렬,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
커뮤니케이션과 사회,박선주,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
커뮤니케이션과 사회,양아정,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
전략 커뮤니케이션 개론,주예진,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
전략 커뮤니케이션 개론,석화윤,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
온라인 사회과학 연구,김미림,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
디지털 미디어 리터러시,박윤정,미디어커뮤니케이션학과,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 1.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
디지털 미디어 리터러시,김영식,미디어커뮤니케이션학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
뉴스취재와 보도기사작성,김인숙,미디어커뮤니케이션학과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.8]",
영상미학,노동렬,미디어커뮤니케이션학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 1.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
마케팅커뮤니케이션 효과론,하지영,미디어커뮤니케이션학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 1.0, 1.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
