과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
심리학개론,조효진,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
심리학개론,신은삼,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 0.8]",
학습과 기억,박형생,심리학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",1,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 1.0, 0.5, 0.8]",
학습과 기억,백이화,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 0.5, 1.0]",
성격심리학,이상하,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
온라인 사회과학 연구,김미림,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
실험연구법,홍인재,심리학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 1.0, 1.0, 0, 1, 0, 0, 0.0, 0.5, 0.6]",
생애발달,박주향,심리학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
사회심리학,박혜경,심리학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
