과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
글로벌경제와 지역문제,이효선,지리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
문화지리학,박선영,지리학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.0, 0.5, 1.0]",
온라인 사회과학 연구,김미림,심리학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
문화와 미디어·커뮤니케이션,심두보,미디어커뮤니케이션학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
지형학,박경,지리학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
지도학,정재준,지리학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
사회와 공간론,이원호,지리학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
생태학,양권모,바이오생명공학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1, 1.0, 1.0]",
기후학,노복진,지리학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 0.5, 1.0]",
GIS응용,정재준,지리학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
지역 및 공간정책 실습,채지민,지리학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,1,1,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 1.0, 1.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
지리 교과교육론,박민영,지리학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
부동산입지분석,어정민,지리학과,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 0.5, 1.0]",
환경변화 및 재난관리,박경,지리학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
공간정보학실무,정재준,지리학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
