과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
가정 교과교육론,이신애,생활산업대학,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
가정 논리 및 논술,허경옥,생활산업대학,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
기초메이크업,김정하,뷰티산업학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
기초메이크업,김지연,뷰티산업학과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 1.0, 1.0]",
기초메이크업,임은정,뷰티산업학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
기초 메이크업,임승연,뷰티·패션디자인,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
피부과학,김슬기,뷰티산업학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,1,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.0, 1.0, 0.6]",
기초헤어스타일링,신정원,뷰티산업학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
기초헤어스타일링,이경,뷰티산업학과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
브랜딩과 상품기획,양수진,소비자산업학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
전공 실무중국어,이경,뷰티산업학과,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
체형관리에스테틱,김규리,뷰티산업학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
모발과학,박초희,뷰티산업학과,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 0.8]",
응용메이크업,임은정,뷰티산업학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
응용메이크업,신정원,뷰티산업학과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
응용메이크업,이경,뷰티산업학과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
미용문화사,황선희,뷰티산업학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
공중보건과 위생,류상희,뷰티산업학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
화장품 제조 및 실습,김주덕,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 0.6]",
화장품 제조 및 실습,김주덕,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 0.6]",
컬러 코디네이트 미학,김지연,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0.2,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 1.0, 0.5, 0.4]",
화장품 성분학,박초희,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
미디어 메이크업,김희라,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.4,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 1.0, 0.8]",
헤어디자인,조여진,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0.3,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 1.0, 0.5, 0.6]",
무대분장,황선희,뷰티산업학과,심화전공,3영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
무대분장,이경,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
메디컬 에스테틱,김지영,뷰티산업학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
화장 심리학,김지은,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 0.5, 0.6]",
졸업작품 및 논문,서현우,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0.5,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.5, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
졸업작품 및 논문,김슬기,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
졸업작품 및 논문,신정원,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 1.0, 1.0]",
졸업작품 및 논문,이유나,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
졸업작품 및 논문,황선희,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
졸업작품 및 논문,송연재,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
졸업작품 및 논문,이경,뷰티산업학과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
맞춤형화장품 조제관리학 심화,박초희,뷰티산업학과,심화전공,4영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 1.0, 1.0]",
