과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
가정 교과교육론,이신애,생활산업대학,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.0, 1.0, 1.0]",
가정 논리 및 논술,허경옥,생활산업대학,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
인간행동과 사회환경,박주희,사회복지학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
소비자학,임은경,소비자산업학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
소비자학,임은경,소비자산업학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
가계경제와 시장,차경욱,소비자산업학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
가정생활문화,최배영,소비자산업학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
가정생활문화,백주원,소비자산업학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
소비자상담과 피해구제,류지혜,소비자산업학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 0.6]",
노동법 1,문준혁,법학부,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",1,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 1.0, 1.0, 0.8]",
소비자재무설계,원대식,소비자산업학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
소비자안전세미나,전진수,소비자산업학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
브랜딩과 상품기획,양수진,소비자산업학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
서비스산업과 프로세스관리,정예린,소비자산업학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
소비자조사분석과 실습,윤주옥,소비자산업학과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.4,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 1.0, 0.8]",
융복합신기술과 소비자,양수진,소비자산업학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0.4,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 1.0, 0.5, 0.8]",
소비자유통과 창업,양수진,소비자산업학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
디지털금융과 소비자,차경욱,소비자산업학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
라이프스타일과 생활문화산업,박현명,소비자산업학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
기업프로모션연출실무,최배영,소비자산업학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,1,1,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 1.0, 1.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
주거학,노영래,소비자산업학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
통계분석 및 실습,허경옥,소비자산업학과,심화전공,4영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",1,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 1.0, 1.0, 0.8]",
생활문화산업비즈니스,최배영,소비자산업학과,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
