과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천 
합창 1,이미연,성악과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
서양음악사및문헌 1,이가영,작곡과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
창작연주 1,강은경,작곡과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
초급화성 및 이론 1,박지영,작곡과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
초급화성 및 이론 1,박지영,작곡과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.6]",
클래스 피아노 1,김수현,작곡과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
학내연주 1,오윤주,기악과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 0, 1, 0]",0.2,0,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 0, 1, 0, 0.2, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
학내연주 1,임경원,기악과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
전공실기 1,조미정,기악과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
전공실기 1,조미정,기악과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
