과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
인문 고전의 이해,조국,인문융합예술대학,핵심전공,2영역,"[0, 0, 3]","[0, 0, 0, 1, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 0, 1, 0, 0.2, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
영미사회와 문화,고정민,영어영문학과,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
영미단편,정이화,영어영문학과,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0.5,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
영어학101,윤태진,영어영문학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
여성과 영문학,백진,영어영문학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 1.0]",
예술경영학,박주연,문화예술경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
문화예술감상과 이해,이혜진,문화예술경영학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
문화예술감상과 이해,강지은,문화예술경영학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
통역실습,고상숙,영어영문학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
실용영어 스피치와 프리젠테이션,마이클 엘리어트,영어영문학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
실용영어 스피치와 프리젠테이션,마이클 엘리어트,영어영문학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
오스틴과 브론테의 소설 세계,남윤아,영어영문학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0,0,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
