과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
일반화학실험 1,구본재,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",0,0.5,0.3,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 0.0, 0.5, 0.6]",
일반화학실험 1,이은경,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
일반화학실험 1,박도경,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
일반화학실험 1,오다경,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
일반화학실험 1,김경순,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
일반화학실험 1,이향애,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
일반화학실험 1,박도경,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
일반화학실험 1,김경순,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
화학으로 본 세상,박소현,화학·에너지융합학부,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
물리화학 1,이철우,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
유기화학 1,채정현,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
분석화학 1,신민정,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
분석화학실험,신민정,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 3]","[0, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
생화학 1,박성순,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.8,0,0,"[0, 0, 0, 1]",1,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.8, 0.0, 0.0, 0, 0, 0, 1, 1.0, 1.0, 0.8]",
유기화학실험,이은경,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 0.5, 1.0]",
유기화학실험,이은경,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 0.5, 1.0]",
에너지공학개론,구본재,화학·에너지융합학부,핵심전공,2영역,"[0, 0, 3]","[0, 0, 0, 0, 1]",0.6,0.5,0,"[0, 0, 0, 1]",0,0.5,0.3,"[0, 0, 3, 0, 0, 0, 0, 1, 0.6, 0.5, 0.0, 0, 0, 0, 1, 0.0, 0.5, 0.6]",
