과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
평생교육,노경란,교육학과,핵심전공,1영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 1.0, 1.0, 0.0]",
교육학의 이해,심형진,교육학과,핵심전공,1영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
교육철학,심형진,교육학과,핵심전공,2영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
교육연구방법,강태훈,교육학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
교수ㆍ학습이론,이혜민,교육학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",1,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 1.0, 1.0, 0.8]",
교사론,강지영,교육학과,심화전공,3영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.2,0.5,1,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.2, 0.5, 1.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
교수설계,김은수,교육학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
교육학 교과교육론,지은,교육학과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
교육통계,강태훈,교육학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
교육심리,정은교,교육학과,교직,영역없음,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.5, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
교육방법 및 교육공학,노석준,교육학과,교직,영역없음,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",0.5,0.5,0.3,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.6]",
교육방법 및 교육공학,노석준,교육학과,교직,영역없음,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",0.5,0.5,0.3,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.6]",
교육방법 및 교육공학,노석준,교육학과,교직,영역없음,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",0.5,0.5,0.3,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 1.0, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.6]",
교육행정 및 교육경영,곽연륜,교육학과,교직,영역없음,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0.5,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.5, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
교육행정 및 교육경영,김지현,교육학과,교직,영역없음,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",1,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 1.0, 1.0, 0.8]",
교육행정 및 교육경영,김지현,교육학과,교직,영역없음,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",1,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 1.0, 1.0, 0.8]",
교육행정 및 교육경영,곽연륜,교육학과,교직,영역없음,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0.5,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.5, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
교육과정,강지영,교육학과,교직,영역없음,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 1.0, 1.0]",
교육과정,강지영,교육학과,교직,영역없음,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 1.0, 1.0]",
교육평가,강태훈,교육학과,교직,영역없음,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
교육평가,강태훈,교육학과,교직,영역없음,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
교육사회,노경란,교육학과,교직,영역없음,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
교육사회,노경란,교육학과,교직,영역없음,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
교육사회,노경란,교육학과,교직,영역없음,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
교육사회,노경란,교육학과,교직,영역없음,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
교육철학 및 교육사,심형진,교육학과,교직,영역없음,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
교육철학 및 교육사,심형진,교육학과,교직,영역없음,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
교육철학 및 교육사,심형진,교육학과,교직,영역없음,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
교육철학 및 교육사,심형진,교육학과,교직,영역없음,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
특수교육학개론,신연서,교육학과,교직,영역없음,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
특수교육학개론,신연서,교육학과,교직,영역없음,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
