과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
문화와 사회,조대훈,사회교육과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
법과 사회,이준복,사회교육과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
인간과 사회,정영선,사회교육과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
자기이해 및 사회교육 진로탐색,조대훈,사회교육과,핵심전공,1영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
거시경제원론,감지혜,사회교육과,핵심전공,2영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.3,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.6]",
미국과 민주주의,서현진,사회교육과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.0, 0.5, 1.0]",
사회학자의 생애와 사상,정영선,사회교육과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
일반사회 교과교육론,조대훈,사회교육과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 0, 0, 1]",0.5,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 0, 0, 1, 0.5, 0.5, 1.0]",
사회 논리 및 논술,송현정,사회교육과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",1,0.5,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 1.0, 0, 1, 0, 0, 1.0, 0.5, 0.4]",
금융경제와 금융교육,감지혜,사회교육과,심화전공,3영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
