과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,출결,시험,과제,조모임,성적,강의 시간,강의력,평점,전체 벡터
미적분과 벡터해석 기초,강영훈,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
미적분과 벡터해석 기초,강성봉,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
기초 통계학,원형묵,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",1,0.5,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 1.0]"
기초 통계학,김계완,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0.6, 1.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.4]"
일반화학 Ⅰ,이향애,화학·에너지융합학부,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 0, 1, 0.6]"
일반화학 Ⅰ,이향애,화학·에너지융합학부,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 0, 1, 0.6]"
일반화학 Ⅰ,이향애,화학·에너지융합학부,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 0, 1, 0.6]"
파이썬프로그래밍,김대영,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
파이썬프로그래밍,정영희,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
파이썬프로그래밍,이영한,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 0, 1, 0, 1.0]"
파이썬프로그래밍,서동수,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
파이썬프로그래밍,이민수,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
파이썬프로그래밍,정영범,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
