과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,출결,시험,과제,조모임,성적,강의 시간,강의력,평점,전체 벡터
리더십,정방호,창의융합학부,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
비즈니스와 생활예절,김선주,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.4,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 0, 1, 0, 0.8]"
비즈니스 스피치,김선주,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
스타일 메이크업,김희진,창의융합학부,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
기초 영문법,이용재,창의융합학부,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",1,0,0,"[0, 1, 0, 0]",0,1,0.3,"[1.0, 0.0, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.6]"
대학생을 위한 경제교육과 실용금융,김재호,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
성공적인 진로를 위한 기업가정신,김종석,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
문화예술 교육 현장의 이해와 실습,강향숙,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,1,0.2,"[0.2, 1.0, 1.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.4]"
문화예술 교육 개론,임성훈,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.4,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
기업 환경 홍보의 의미와 미래,서경덕,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
영미 대중음악과 문화,마이클 엘리어트,창의융합학부,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,1,"[1, 0, 0, 0]",0,0.5,0.5,"[0.2, 0.5, 1.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 3, 0, 1, 1.0]"
시사로 중국문화 읽기,강선화,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
Basic Communication Skills,김장욱,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,1,"[1, 0, 0, 0]",0,1,0.4,"[0.2, 1.0, 1.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
골목경제와 로컬크리에이터,채지민,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,1,0.5,"[0.2, 1.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
진로탐색과 실용적 글쓰기,김나영,창의융합학부,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,1,0.5,"[0.2, 1.0, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 0, 0, 1, 1.0]"
로컬 화장품 브랜딩과 소비자 이해,이보영,창의융합학부,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,1,0.3,"[0.2, 1.0, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.6]"
세계의 차 문화,김효주,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
예비 부모 교육,김선주,창의융합학부,진로소양,자유선택,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
생활 한자,김용재,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0.4, 0.0, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 0, 1, 0, 1.0]"
필라테스 움직임 과학,이지예,창의융합학부,진로소양,자유선택,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
볼링,정영남,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
탁구,최승욱,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0.5,"[1, 0, 0, 0]",0,0.5,0.5,"[0.6, 0.0, 0.5, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 3, 1, 0, 1.0]"
호신술,양윤권,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",1,0.5,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 1.0]"
웰니스 요가,육영숙,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.4,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
생활 소품 디자인,정유진,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0.2, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
웰니스와 체형관리,백승희,창의융합학부,진로소양,자유선택,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
안보학,유정호,학생군사교육단,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
조직 리더십,임봉래,학생군사교육단,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
국제학생을 위한 한국어 I,강선화,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
국제학생을 위한 한국어 II,김연주,국제교류지원팀,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.0]"
