과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,학년,필수,전체 벡터
비즈니스와 생활예절,김선주,공통,진로소양,도전과실천,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,월/1-3,1.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
생활 한자,김용재,공통,진로소양,자유선택,"[1, 0]","[0, 3, 0]",,1.0,"[1, 0, 0, 0, 0]",0.4,0,0,"[1, 0, 0, 0]",0,1.0,,월/10-12,1.0,필수 아님,"[0.4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
리더십,정방호,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1.0,,수/1-3,1.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 0, 1, 1.0]"
비즈니스 스피치,김선주,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,금/4-6,1.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
스타일 메이크업,김희진,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",0,1.0,,수/7-9,1.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
기초 영문법,이용재,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,0.6,"[0, 1, 0, 0, 0]",1.0,0,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[1.0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 0.6]"
대학생을 위한 경제교육과 실용금융,김재호,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
성공적인 진로를 위한 기업가정신,김종석,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,0,1,"[0, 0, 0, 0]",0,1.0,,금/4-6,1.0,필수 아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
문화예술 교육 현장의 이해와 실습,강향숙,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","문화예술교육사 관련 교과, 현장 실습 필수(미이수 시 F)",0.4,"[0, 1, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,1.0,,목/7-9,1.0,필수 아님,"[0.2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.4]"
문화예술 교육 개론,임성훈,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",문화예술교육사 관련 교과,0.8,"[1, 0, 0, 0, 0]",0.4,1,1,"[0, 1, 0, 0]",0,1.0,,목/1-3,1.0,필수 아님,"[0.4, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
