과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,파일명,전체 벡터
AI서비스설계,이민수,AI,핵심전공,2영역,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.4,1,1,"[1, 0, 0, 0]",0,1.0,,금/1-3,AI_data_2영역_일반.csv,"[0.4, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
추천시스템,오장민,AI,심화전공,3영역,"[1, 0]","[3, 0, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,수/7-9,AI_data_3영역_블렌디드.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.8]"
추천시스템,유재현,AI,심화전공,3영역,"[1, 0]","[3, 0, 0]",,1.0,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1.0,,수/7-9,AI_data_3영역_블렌디드.csv,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 3, 0, 0, 1, 0, 1.0]"
클라우드컴퓨팅AI,오장민,AI,심화전공,3영역,"[1, 0]","[3, 0, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,화/1-3,AI_data_3영역_블렌디드.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 3, 0, 0, 1, 0, 0.8]"
클라우드컴퓨팅AI,오장민,AI,심화전공,3영역,"[1, 0]","[3, 0, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,수/1-3,AI_data_3영역_블렌디드.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 3, 0, 0, 1, 0, 0.8]"
클라우드컴퓨팅AI,강종구,AI,심화전공,3영역,"[1, 0]","[3, 0, 0]",,0.6,"[0, 1, 0, 0, 0]",0.6,0,1,"[0, 1, 0, 0]",0,0.0,최근 하나의 강의평이 강의력이 좋아졌다는 평이 있어서 그런것 같음,수/1-3,AI_data_3영역_블렌디드.csv,"[0.6, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.6]"
자율이동체 시스템,안양준,AI,심화전공,4영역,"[1, 0]","[3, 0, 0]",,0.6,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,0.0,,목/4-6,AI_data_4영역_블렌디드.csv,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.6]"
AI융합개론,고원준,AI융합학부,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년 전공탐색] [GeM(공학과기술)],1.0,"[0, 1, 0, 0, 0]",0.4,0,1,"[0, 1, 0, 0]",0,1.0,,화/1-3,AI융합학부_data_1영역_일반.csv,"[0.4, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
AI융합개론,고원준,AI융합학부,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년 전공탐색] [GeM(공학과기술)],1.0,"[0, 1, 0, 0, 0]",0.4,0,1,"[0, 1, 0, 0]",0,1.0,,목/1-3,AI융합학부_data_1영역_일반.csv,"[0.4, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
디지털논리회로,이준세,AI융합학부,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,1.0,"[0, 0, 0, 1, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,화/1-3,AI융합학부_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1.0, 3, 0, 0, 1, 0, 1.0]"
고급파이썬프로그래밍,김준영,AI융합학부,핵심전공,2영역,"[1, 0]","[0, 0, 3]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,화/4-6,AI융합학부_data_2영역_일반.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 0.8]"
고급파이썬프로그래밍,강대성,AI융합학부,핵심전공,2영역,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,1.0,,금/4-6,AI융합학부_data_2영역_일반.csv,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
디지털 신호처리,이준세,AI융합학부,심화전공,3영역,"[1, 0]","[3, 0, 0]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,월/4-6,AI융합학부_data_3영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 3, 0, 0, 1, 0, 1.0]"
디지털 신호처리,이준세,AI융합학부,심화전공,3영역,"[1, 0]","[3, 0, 0]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,화/7-9,AI융합학부_data_3영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 3, 0, 0, 1, 0, 1.0]"
디지털 신호처리,이준세,AI융합학부,심화전공,3영역,"[1, 0]","[3, 0, 0]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,월/7-9,AI융합학부_data_3영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 3, 0, 0, 1, 0, 1.0]"
심층학습,이규중,AI융합학부,심화전공,3영역,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,0.5,,목/7-9,AI융합학부_data_3영역_일반.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0.5, 0, 0, 3, 1, 0, 1.0]"
심층학습,이규중,AI융합학부,심화전공,3영역,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,0.5,,금/7-9,AI융합학부_data_3영역_일반.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0.5, 0, 0, 3, 1, 0, 1.0]"
심층학습,변혜원,AI융합학부,심화전공,3영역,"[1, 0]","[0, 0, 3]",,1.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,목/7-9,AI융합학부_data_3영역_일반.csv,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
고급기계학습,고원준,AI융합학부,심화전공,3영역,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,금/4-6,AI융합학부_data_3영역_일반.csv,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
